comment_content,comment_rate,comment_time,comment_vote,comment_author
这居然是我今年看过的国产剧里，演员演技最好的一部，这还只是群孩子啊！！。。。,allstar40 rating,2017-08-30 00:28:00,73,烟波人长安
从《白蛇传》到《放开那三国》，不敢说电影制作有多精良、小演员演技有多炸裂，最关键的其实是导演有这个创意，孩子们喜欢演戏并且演的并不差，观众们也愿意捧场，那些臆测制作者“用孩子圈钱”的言论，可以休矣。,allstar40 rating,2017-09-06 11:59:55,39,康报虹
一颦一笑古典灵动，跳舞弹琴眼波飞扬。,allstar40 rating,2017-09-01 23:09:45,31,低首尘埃
这些熊孩子，才是真小鲜肉啊，演技神好，路人甲老敬业了。,allstar50 rating,2017-08-31 19:53:40,58,半辈子
孩子演的，给孩子看。一方面别人的孩子锻炼了演技。一方面，自己的孩子了解了历史和名著。我娃很喜欢。,allstar50 rating,2017-08-31 20:57:11,48,李荷西
小曹操这演技牛逼啊，眼神老到位了，几下就演出那种奸雄的赶脚。这小演员完爆小鲜肉啊。从小拍拍戏不比打王者荣耀强多了？,allstar50 rating,2017-08-31 18:33:21,48,春暖花开王高兴
小孩子们的演技都超厉害的，貂蝉最美。,allstar50 rating,2017-09-04 23:31:26,22,承泽明
看来导演是有老版三国情怀的，小朋友们承包了不少演技，特别是喝血酒确实惊艳了一番，可赞可看，但5集就够了，头两集比较新鲜，新鲜劲过了，就两码事了，剧长尺度把握的不错，人物方面特别觉得貂蝉会比较有前途，可以好好发展！国产剧很多成年演员会否汗颜，你们的演技原来只有小孩子的水平。甚至不如~,allstar30 rating,2017-09-07 17:58:25,8,潇雨
什么鬼，利用小孩子圈钱,allstar20 rating,2017-08-30 12:49:43,9,乌云上的银边
小樱桃和演曹操的前途无量。,allstar40 rating,2017-08-31 12:04:11,32,埃米
