score_num,movie_name,score,ranking
875400,肖申克的救赎,9.6,1
875400,霸王别姬,9.5,2
875400,这个杀手不太冷,9.4,3
875400,阿甘正传,9.4,4
875400,美丽人生,9.5,5
875400,千与千寻,9.2,6
875400,辛德勒的名单,9.4,7
875400,泰坦尼克号,9.2,8
875400,盗梦空间,9.2,9
875400,机器人总动员,9.3,10
875400,海上钢琴师,9.2,11
875400,三傻大闹宝莱坞,9.1,12
875400,忠犬八公的故事,9.2,13
875400,放牛班的春天,9.2,14
875400,大话西游之大圣娶亲,9.2,15
875400,龙猫,9.1,16
875400,教父,9.2,17
875400,楚门的世界,9.1,18
875400,乱世佳人,9.2,19
875400,天堂电影院,9.1,20
875400,触不可及,9.1,21
875400,当幸福来敲门,8.9,22
875400,熔炉,9.2,23
875400,无间道,9.0,24
875400,搏击俱乐部,9.0,25
movie_name,score,ranking,score_num
肖申克的救赎,9.6,1,875400
霸王别姬,9.5,2,875400
这个杀手不太冷,9.4,3,875400
阿甘正传,9.4,4,875400
美丽人生,9.5,5,875400
千与千寻,9.2,6,875400
辛德勒的名单,9.4,7,875400
泰坦尼克号,9.2,8,875400
盗梦空间,9.2,9,875400
机器人总动员,9.3,10,875400
海上钢琴师,9.2,11,875400
三傻大闹宝莱坞,9.1,12,875400
忠犬八公的故事,9.2,13,875400
放牛班的春天,9.2,14,875400
大话西游之大圣娶亲,9.2,15,875400
龙猫,9.1,16,875400
教父,9.2,17,875400
楚门的世界,9.1,18,875400
乱世佳人,9.2,19,875400
天堂电影院,9.1,20,875400
触不可及,9.1,21,875400
当幸福来敲门,8.9,22,875400
熔炉,9.2,23,875400
无间道,9.0,24,875400
搏击俱乐部,9.0,25,875400
score_num,score,movie_name,ranking
875400,9.6,肖申克的救赎,1
875400,9.5,霸王别姬,2
875400,9.4,这个杀手不太冷,3
875400,9.4,阿甘正传,4
875400,9.5,美丽人生,5
875400,9.2,千与千寻,6
875400,9.4,辛德勒的名单,7
875400,9.2,泰坦尼克号,8
875400,9.2,盗梦空间,9
875400,9.3,机器人总动员,10
875400,9.2,海上钢琴师,11
875400,9.1,三傻大闹宝莱坞,12
875400,9.2,忠犬八公的故事,13
875400,9.2,放牛班的春天,14
875400,9.2,大话西游之大圣娶亲,15
875400,9.1,龙猫,16
875400,9.2,教父,17
875400,9.1,楚门的世界,18
875400,9.2,乱世佳人,19
875400,9.1,天堂电影院,20
875400,9.1,触不可及,21
875400,8.9,当幸福来敲门,22
875400,9.2,熔炉,23
875400,9.0,无间道,24
875400,9.0,搏击俱乐部,25
movie_name,score_num,ranking,score
肖申克的救赎,875400,1,9.6
霸王别姬,875400,2,9.5
这个杀手不太冷,875400,3,9.4
阿甘正传,875400,4,9.4
美丽人生,875400,5,9.5
千与千寻,875400,6,9.2
辛德勒的名单,875400,7,9.4
泰坦尼克号,875400,8,9.2
盗梦空间,875400,9,9.2
机器人总动员,875400,10,9.3
海上钢琴师,875400,11,9.2
三傻大闹宝莱坞,875400,12,9.1
忠犬八公的故事,875400,13,9.2
放牛班的春天,875400,14,9.2
大话西游之大圣娶亲,875400,15,9.2
龙猫,875400,16,9.1
教父,875400,17,9.2
楚门的世界,875400,18,9.1
乱世佳人,875400,19,9.2
天堂电影院,875400,20,9.1
触不可及,875400,21,9.1
当幸福来敲门,875400,22,8.9
熔炉,875400,23,9.2
无间道,875400,24,9.0
搏击俱乐部,875400,25,9.0
十二怒汉,171538,26,9.4
怦然心动,171538,27,8.9
指环王3：王者无敌,171538,28,9.1
星际穿越,171538,29,9.1
少年派的奇幻漂流,171538,30,9.0
天空之城,171538,31,9.0
鬼子来了,171538,32,9.2
罗马假日,171538,33,8.9
蝙蝠侠：黑暗骑士,171538,34,9.0
大话西游之月光宝盒,171538,35,8.9
活着,171538,36,9.1
两杆大烟枪,171538,37,9.0
飞屋环游记,171538,38,8.9
窃听风暴,171538,39,9.1
飞越疯人院,171538,40,9.0
海豚湾,171538,41,9.3
闻香识女人,171538,42,8.9
V字仇杀队,171538,43,8.8
哈尔的移动城堡,171538,44,8.9
教父2,171538,45,9.1
美丽心灵,171538,46,8.9
指环王2：双塔奇兵,171538,47,8.9
指环王1：魔戒再现,171538,48,8.9
死亡诗社,171538,49,8.9
情书,171538,50,8.8
控方证人,84648,51,9.6
天使爱美丽,84648,52,8.7
美国往事,84648,53,9.1
辩护人,84648,54,9.1
钢琴家,84648,55,9.0
饮食男女,84648,56,9.0
七宗罪,84648,57,8.7
狮子王,84648,58,8.9
被嫌弃的松子的一生,84648,59,8.9
致命魔术,84648,60,8.8
小鞋子,84648,61,9.2
勇敢的心,84648,62,8.8
剪刀手爱德华,84648,63,8.7
音乐之声,84648,64,8.9
疯狂动物城,84648,65,9.2
低俗小说,84648,66,8.7
素媛,84648,67,9.1
本杰明·巴顿奇事,84648,68,8.7
入殓师,84648,69,8.8
沉默的羔羊,84648,70,8.7
黑客帝国,84648,71,8.8
拯救大兵瑞恩,84648,72,8.8
蝴蝶效应,84648,73,8.7
西西里的美丽传说,84648,74,8.7
玛丽和马克思,84648,75,8.9
心灵捕手,265172,76,8.7
春光乍泄,265172,77,8.8
幽灵公主,265172,78,8.8
让子弹飞,265172,79,8.7
第六感,265172,80,8.8
